clip_id,clip_file,clip_path,fiba_url,quarter,game_clock_range,video_start_sec,video_start,video_end_sec,video_end,duration_sec,start_cut_type,end_cut_type,start_timeline_event,end_timeline_event
"1","001_Q1_0851-0851-0851_to_0849_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/001_Q1_0851-0851-0851_to_0849_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","08:51/08:51/08:51_to_08:49","2","00:02","27","00:27","25","score;foul;foul","defensive_rebound","34 Brandon Gilbeck | +1 | 1st of 2 free throws made / 34 Brandon Gilbeck foul drawn / 31 Jaeseok Jang Personal foul; 2 free throws awarded","22 Jun Seok Yeo defensive rebound"
"2","002_Q1_0849_to_0833_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/002_Q1_0849_to_0833_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","08:49_to_08:33","27","00:27","43","00:43","16","defensive_rebound","defensive_rebound","22 Jun Seok Yeo defensive rebound","34 Brandon Gilbeck defensive rebound"
"3","003_Q1_0833_to_0820_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/003_Q1_0833_to_0820_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","08:33_to_08:20","43","00:43","56","00:56","13","defensive_rebound","defensive_rebound","34 Brandon Gilbeck defensive rebound","31 Jaeseok Jang defensive rebound"
"4","004_Q1_0820_to_0810_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/004_Q1_0820_to_0810_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","08:20_to_08:10","56","00:56","66","01:06","10","defensive_rebound","defensive_rebound","31 Jaeseok Jang defensive rebound","34 Brandon Gilbeck defensive rebound"
"5","005_Q1_0810_to_0751_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/005_Q1_0810_to_0751_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","08:10_to_07:51","66","01:06","109","01:49","43","defensive_rebound","score","34 Brandon Gilbeck defensive rebound","10 Long-Mao Hu | +3 | 3pt jump shot made"
"6","006_Q1_0751_to_0735_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/006_Q1_0751_to_0735_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","07:51_to_07:35","109","01:49","125","02:05","16","score","defensive_rebound","10 Long-Mao Hu | +3 | 3pt jump shot made","9 Ying-Chun Chen defensive rebound"
"7","007_Q1_0735_to_0729_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/007_Q1_0735_to_0729_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","07:35_to_07:29","125","02:05","131","02:11","6","defensive_rebound","defensive_rebound","9 Ying-Chun Chen defensive rebound","31 Jaeseok Jang defensive rebound"
"8","008_Q1_0729_to_0714-0714-0714_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/008_Q1_0729_to_0714-0714-0714_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","07:29_to_07:14/07:14/07:14","131","02:11","146","02:26","15","defensive_rebound","score;foul;foul","31 Jaeseok Jang defensive rebound","31 Jaeseok Jang | +1 | 2nd of 2 free throws made / 31 Jaeseok Jang foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded"
"9","009_Q1_0714-0714-0714_to_0647_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/009_Q1_0714-0714-0714_to_0647_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","07:14/07:14/07:14_to_06:47","146","02:26","233","03:53","87","score;foul;foul","score","31 Jaeseok Jang | +1 | 2nd of 2 free throws made / 31 Jaeseok Jang foul drawn / 1 Bachir Gadiaga Personal foul; 2 free throws awarded","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made"
"10","010_Q1_0647_to_0628_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/010_Q1_0647_to_0628_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","06:47_to_06:28","233","03:53","252","04:12","19","score","defensive_rebound","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, jump shot made","34 Brandon Gilbeck defensive rebound"
"11","011_Q1_0628_to_0608_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/011_Q1_0628_to_0608_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","06:28_to_06:08","252","04:12","272","04:32","20","defensive_rebound","score","34 Brandon Gilbeck defensive rebound","9 Ying-Chun Chen | +3 | 3pt jump shot made"
"12","012_Q1_0608_to_0550-0550_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/012_Q1_0608_to_0550-0550_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","06:08_to_05:50/05:50","272","04:32","290","04:50","18","score","foul","9 Ying-Chun Chen | +3 | 3pt jump shot made","2 Junyong Choi foul drawn / 9 Ying-Chun Chen Personal foul"
"13","013_Q1_0550-0550_to_0545_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/013_Q1_0550-0550_to_0545_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","05:50/05:50_to_05:45","290","04:50","320","05:20","30","foul","score","2 Junyong Choi foul drawn / 9 Ying-Chun Chen Personal foul","22 Jun Seok Yeo | +2 | 2pt fadeaway jump shot made"
"14","014_Q1_0545_to_0523_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/014_Q1_0545_to_0523_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","05:45_to_05:23","320","05:20","341","05:41","21","score","turnover","22 Jun Seok Yeo | +2 | 2pt fadeaway jump shot made","34 Brandon Gilbeck turnover; ball handling"
"15","015_Q1_0523_to_0506_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/015_Q1_0523_to_0506_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","05:23_to_05:06","341","05:41","359","05:59","18","turnover","score","34 Brandon Gilbeck turnover; ball handling","6 Junghyun Lee | +3 | 3pt jump shot made"
"16","016_Q1_0506_to_0437_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/016_Q1_0506_to_0437_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","05:06_to_04:37","359","05:59","388","06:28","29","score","defensive_rebound","6 Junghyun Lee | +3 | 3pt jump shot made","team defensive rebound"
"17","017_Q1_0437_to_0428_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/017_Q1_0437_to_0428_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","04:37_to_04:28","388","06:28","409","06:49","21","defensive_rebound","score","team defensive rebound","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, driving layup made"
"18","018_Q1_0428_to_0410-0410_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/018_Q1_0428_to_0410-0410_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","04:28_to_04:10/04:10","409","06:49","427","07:07","18","score","foul","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, driving layup made","34 Brandon Gilbeck foul drawn / 33 Seounghyun Lee Personal foul"
"19","019_Q1_0410-0410_to_0353_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/019_Q1_0410-0410_to_0353_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","04:10/04:10_to_03:53","427","07:07","552","09:12","125","foul","defensive_rebound","34 Brandon Gilbeck foul drawn / 33 Seounghyun Lee Personal foul","11 Woosuk Lee defensive rebound"
"20","020_Q1_0353_to_0335_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/020_Q1_0353_to_0335_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","03:53_to_03:35","552","09:12","570","09:30","18","defensive_rebound","defensive_rebound","11 Woosuk Lee defensive rebound","39 Chun Hsiang Lu defensive rebound"
"21","021_Q1_0335_to_0320_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/021_Q1_0335_to_0320_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","03:35_to_03:20","570","09:30","586","09:46","16","defensive_rebound","score","39 Chun Hsiang Lu defensive rebound","0 Benson Lin | +2 | 2pt pullup jump shot made"
"22","022_Q1_0320_to_0302_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/022_Q1_0320_to_0302_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","03:20_to_03:02","586","09:46","603","10:03","17","score","score","0 Benson Lin | +2 | 2pt pullup jump shot made","2 Junyong Choi | +3 | 3pt jump shot made"
"23","023_Q1_0302_to_0233-0233-0233_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/023_Q1_0302_to_0233-0233-0233_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","03:02_to_02:33/02:33/02:33","603","10:03","632","10:32","29","score","score;foul;foul","2 Junyong Choi | +3 | 3pt jump shot made","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made / 34 Brandon Gilbeck foul drawn / 33 Seounghyun Lee Personal foul; 2 free throws awarded"
"24","024_Q1_0233-0233-0233_to_0220-0220-0220-0220_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/024_Q1_0233-0233-0233_to_0220-0220-0220-0220_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","02:33/02:33/02:33_to_02:20/02:20/02:20/02:20","632","10:32","715","11:55","83","score;foul;foul","score;foul;foul","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made / 34 Brandon Gilbeck foul drawn / 33 Seounghyun Lee Personal foul; 2 free throws awarded","11 Woosuk Lee | +1 | 2nd of 2 free throws made / 11 Woosuk Lee | +1 | 1st of 2 free throws made / 11 Woosuk Lee foul drawn / 39 Chun Hsiang Lu Personal foul; 2 free throws awarded"
"25","025_Q1_0220-0220-0220-0220_to_0201_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/025_Q1_0220-0220-0220-0220_to_0201_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","02:20/02:20/02:20/02:20_to_02:01","715","11:55","791","13:11","76","score;foul;foul","score","11 Woosuk Lee | +1 | 2nd of 2 free throws made / 11 Woosuk Lee | +1 | 1st of 2 free throws made / 11 Woosuk Lee foul drawn / 39 Chun Hsiang Lu Personal foul; 2 free throws awarded","2 Riven Ma | +3 | 3pt pullup jump shot made"
"26","026_Q1_0201_to_0142_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/026_Q1_0201_to_0142_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","02:01_to_01:42","791","13:11","810","13:30","19","score","score","2 Riven Ma | +3 | 3pt pullup jump shot made","31 Jaeseok Jang | +2 | 2pt floating jump shot made"
"27","027_Q1_0142_to_0134-0134_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/027_Q1_0142_to_0134-0134_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","01:42_to_01:34/01:34","810","13:30","818","13:38","8","score","foul","31 Jaeseok Jang | +2 | 2pt floating jump shot made","9 Ying-Chun Chen foul drawn / 5 Junhyeong Byeon Personal foul"
"28","028_Q1_0134-0134_to_0113_q1_cutpoint_segment.mov","media/clips/q1_cutpoint_segmentss/028_Q1_0134-0134_to_0113_q1_cutpoint_segment.mov","https://www.fiba.basketball/en/events/fiba-basketball-world-cup-2027-asian-qualifiers/games/126924-KOR-TPE#playByPlay","Q1","01:34/01:34_to_01:13","818","13:38","870","14:30","52","foul","defensive_rebound","9 Ying-Chun Chen foul drawn / 5 Junhyeong Byeon Personal foul","12 Jeonghyeon Moon defensive rebound"